54790KHWV HWV20110101000010501/01/11 00:00:31  5-MIN KHWV 010500Z AUTO 23004KT 7SM CLR 02/M01 A3014 -110 85 -1700 240/04 RMK AO2 TSNO
54790KHWV HWV20110101000510501/01/11 00:05:31  5-MIN KHWV 010505Z AUTO 22004KT 7SM CLR 02/M01 A3013 -110 82 -1600 240/04 RMK AO2 TSNO
54790KHWV HWV20110101001010501/01/11 00:10:31  5-MIN KHWV 010510Z AUTO 24003KT 7SM CLR 02/M01 A3013 -110 82 -1600 250/03 RMK AO2 TSNO
54790KHWV HWV20110101001510801/01/11 00:15:31  5-MIN KHWV 010515Z AUTO 23004KT 6SM BR CLR 01/M01 A3013 -110 85 -1700 240/04 RMK AO2 TSNO
54790KHWV HWV20110101002010801/01/11 00:20:31  5-MIN KHWV 010520Z AUTO 21004KT 6SM HZ CLR 02/M01 A3013 -100 82 -1700 230/04 RMK AO2 TSNO
54790KHWV HWV20110101002510801/01/11 00:25:31  5-MIN KHWV 010525Z AUTO 20003KT 6SM HZ CLR 02/M01 A3012 -100 82 -1700 210/03 RMK AO2 TSNO
54790KHWV HWV20110101003010801/01/11 00:30:31  5-MIN KHWV 010530Z AUTO 22004KT 6SM HZ CLR 02/M01 A3013 -100 82 -1700 240/04 RMK AO2 TSNO
54790KHWV HWV20110101003510801/01/11 00:35:31  5-MIN KHWV 010535Z AUTO 22003KT 6SM HZ CLR 02/M01 A3013 -100 82 -1700 240/03 RMK AO2 TSNO
54790KHWV HWV20110101004010801/01/11 00:40:31  5-MIN KHWV 010540Z AUTO 22004KT 6SM HZ CLR 02/M02 A3013 -100 78 -1700 240/04 RMK AO2 TSNO
54790KHWV HWV20110101004510801/01/11 00:45:31  5-MIN KHWV 010545Z AUTO 23004KT 6SM HZ CLR 02/M01 A3013 -110 78 -1600 250/04 RMK AO2 TSNO
54790KHWV HWV20110101005014301/01/11 00:50:31  5-MIN KHWV 010550Z AUTO 25004KT 6SM HZ CLR 01/M02 A3014 -110 82 -1800 260/04 RMK AO2 SLP205 T00111017 10033 21006 56008 TSNO
54790KHWV HWV20110101005514301/01/11 00:55:31  5-MIN KHWV 010555Z AUTO 26003KT 6SM HZ CLR 01/M02 A3014 -110 82 -1800 270/03 RMK AO2 SLP207 T00111017 10033 21006 56008 TSNO
54790KHWV HWV20110101010010801/01/11 01:00:31  5-MIN KHWV 010600Z AUTO 26003KT 6SM HZ CLR 01/M02 A3015 -120 82 -1800 270/03 RMK AO2 TSNO
54790KHWV HWV20110101010510801/01/11 01:05:31  5-MIN KHWV 010605Z AUTO 00000KT 6SM HZ CLR 01/M02 A3015 -120 82 -1800 000/00 RMK AO2 TSNO
54790KHWV HWV20110101011010801/01/11 01:10:31  5-MIN KHWV 010610Z AUTO 00000KT 6SM HZ CLR 01/M02 A3015 -120 82 -1800 000/00 RMK AO2 TSNO
54790KHWV HWV20110101011510801/01/11 01:15:31  5-MIN KHWV 010615Z AUTO 00000KT 6SM HZ CLR 01/M02 A3014 -120 82 -1800 000/00 RMK AO2 TSNO
54790KHWV HWV20110101012010801/01/11 01:20:31  5-MIN KHWV 010620Z AUTO 22003KT 6SM HZ CLR 01/M02 A3014 -110 82 -1800 240/03 RMK AO2 TSNO
